development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
wdlp-RUR3,"Land at Sidney House, Lane End",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPRUR3,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR3
wdlp-RUR4,Little Marlow Lakes Country Park,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPRUR4,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR4
wdlp-RUR5,Longwick-cum-Ilmer Parish,,local-authority-eng:BUC,area/location-specific-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR5
wdlp-RUR6,Great and Little Kimble-cum-Marsh Parish,,local-authority-eng:BUC,area/location-specific-policy,E07000007,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR6
wdlp-RUR7,"Land off Clappins Lane, Naphill",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPRUR7,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR7
wdlp-RUR8,"Land south of Mill Road, Stokenchurch",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPRUR8,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR8
wdlp-RUR9,"Land at Wood Farm, Stokenchurch",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPRUR9,,2020-12-21,2019-08-19,,/development-policy/local-authority-eng/BUC/wdlp-RUR9
wendoverndp-B1,Change of Use from Business to Residential,,local-authority-eng:BUC,development-management,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-B1
wendoverndp-CF1,Community Facilities,,local-authority-eng:BUC,community-facilities,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-CF1
wendoverndp-CH1,"Conservation of Ecology, Biodiversity and Natural Assets",,local-authority-eng:BUC,biodiversity;ecology;nature,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-CH1
wendoverndp-G1,Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-G1
wendoverndp-G2,Key Views and Vistas,,local-authority-eng:BUC,views,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-G2
wendoverndp-G3,Biodiversity,,local-authority-eng:BUC,biodiversity,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-G3
wendoverndp-H1,Wendover Settlement Boundary,,local-authority-eng:BUC,strategic-policy,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-H1
wendoverndp-H2,Development in the Conservation Area,,local-authority-eng:BUC,conservation-area;development-management,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-H2
wendoverndp-H3,Affordable Housing,,local-authority-eng:BUC,affordable-housing,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-H3
wendoverndp-H4,Retirement Housing,,local-authority-eng:BUC,specialised-housing,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-H4
wendoverndp-IC1,Internet and Mobile Signal,,local-authority-eng:BUC,broadband;infrastructure;communications,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-IC1
wendoverndp-SD1,Design for Sustainable Development within the Neighbourhood Plan Area,,local-authority-eng:BUC,design,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-SD1
wendoverndp-SD2,Design for Sustainable Developments - Parking,,local-authority-eng:BUC,car-parks;design;parking,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-SD2
wendoverndp-T1,Parking,,local-authority-eng:BUC,car-parks;parking,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-T1
wendoverndp-T2,Road Safety and Traffic Management,,local-authority-eng:BUC,highways;transport,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-T2
wendoverndp-T3,Cycle and Pedestrian Routes,,local-authority-eng:BUC,cycling;walking,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-T3
wendoverndp-T4,Public Transport,,local-authority-eng:BUC,public-transport,E04001547,,2020-12-21,2020-02-01,,/development-policy/local-authority-eng/BUC/wendoverndp-T4
westonturvillendp-B1,Revitalisation of the village centre,,local-authority-eng:BUC,economy;retail,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-B1
westonturvillendp-B2,Encouragement of growth and development of small businesses,,local-authority-eng:BUC,economy;employment,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-B2
westonturvillendp-B3,Improvements to broadband and other fibre optic connections,,local-authority-eng:BUC,broadband;infrastructure;communications,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-B3
westonturvillendp-C1,Retention and enhancement of community facilities,,local-authority-eng:BUC,community-facilities,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-C1
westonturvillendp-C2,Replacement of community facilities,,local-authority-eng:BUC,community-facilities,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-C2
westonturvillendp-C3,Public Rights of Way,,local-authority-eng:BUC,infrastructure,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-C3
westonturvillendp-E1,Protection of Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-E1
westonturvillendp-E2,Protection of key views and vistas,,local-authority-eng:BUC,views,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-E2
westonturvillendp-E3,Biodiversity,,local-authority-eng:BUC,biodiversity,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-E3
westonturvillendp-H1,Weston Turville Settlement Boundaries,,local-authority-eng:BUC,strategic-policy,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-H1
westonturvillendp-H2,Development Design in the Neighbourhood Area,,local-authority-eng:BUC,design,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-H2
westonturvillendp-H3,Development within the Conservation Area,,local-authority-eng:BUC,conservation-area;development-management,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-H3
westonturvillendp-H4,Housing Mix and Tenure,,local-authority-eng:BUC,housing-mix,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-H4
westonturvillendp-HE1,Improvements to Health facilities by contributions from developers of new housing or employment schemes,,local-authority-eng:BUC,community-facilities;health,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-HE1
westonturvillendp-HE2,Access to Education provision,,local-authority-eng:BUC,education,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-HE2
westonturvillendp-T1,Improvements to road safety and ease traffic congestion,,local-authority-eng:BUC,highways;transport,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-T1
westonturvillendp-T2,Strategy for improving pedestrian and cycle connections within the Parish and to surrounding area,,local-authority-eng:BUC,cycling;walking,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-T2
westonturvillendp-T3,Encourage better planning of public transport,,local-authority-eng:BUC,public-transport,E04001550,,2020-12-21,2018-08-08,,/development-policy/local-authority-eng/BUC/westonturvillendp-T3
wingndp-A1,Land at Stewkley Road/Dormer Avenue,,local-authority-eng:BUC,allocated-sites,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-A1
wingndp-A2,Land off Meadow Way/Moorlands,,local-authority-eng:BUC,allocated-sites,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-A2
wingndp-CGS1,Respecting the Environment,,local-authority-eng:BUC,nature,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-CGS1
wingndp-CGS2,Open Space in new development,,local-authority-eng:BUC,open-space,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-CGS2
wingndp-CGS3,Local Green Space Designation,,local-authority-eng:BUC,community-facilities;designation,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-CGS3
wingndp-E1,New shops and employment provision in the village,,local-authority-eng:BUC,employment,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-E1
wingndp-E2,New employment provision in the Parish beyond Wing Village,,local-authority-eng:BUC,employment,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-E2
wingndp-E3,Protection of existing employment provision,,local-authority-eng:BUC,employment,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-E3
wingndp-E4,Broadband,,local-authority-eng:BUC,broadband;infrastructure;communications,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-E4
wingndp-F1,Village Facilities,,local-authority-eng:BUC,community-facilities,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-F1
wingndp-HE1,Heritage,,local-authority-eng:BUC,conservation-area;heritage;listed-buildings,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-HE1
wingndp-HE2,Archaeology,,local-authority-eng:BUC,archaeology,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-HE2
wingndp-HO1,Infill Housing,,local-authority-eng:BUC,development-management;housing,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-HO1
wingndp-HO2,Housing mix,,local-authority-eng:BUC,housing-mix,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-HO2
wingndp-HO3,Affordable housing,,local-authority-eng:BUC,affordable-housing,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-HO3
wingndp-T1,Residential Parking standards,,local-authority-eng:BUC,car-parks;parking,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-T1
wingndp-T2,Impact on traffic,,local-authority-eng:BUC,transport,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-T2
wingndp-T3,Traffic and Parking,,local-authority-eng:BUC,car-parks;parking;transport,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-T3
wingndp-T4,Cyclists and Pedestrians,,local-authority-eng:BUC,cycling;walking,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-T4
wingndp-VE1,Visiting and Enjoying Wing,,local-authority-eng:BUC,tourism,E04001553,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/wingndp-VE1
wingraverowshamndp-P1,A Spatial Plan for the Parish,,local-authority-eng:BUC,strategic-policy,E04001554,,2020-12-21,2019-09-01,,/development-policy/local-authority-eng/BUC/wingraverowshamndp-P1
wingraverowshamndp-P2,"Land South of Twelve Leys, Wingrave",,local-authority-eng:BUC,allocated-sites,E04001554,,2020-12-21,2019-09-01,,/development-policy/local-authority-eng/BUC/wingraverowshamndp-P2
wingraverowshamndp-P3,"Land North of Baldways Close, Wingrave",,local-authority-eng:BUC,allocated-sites,E04001554,,2020-12-21,2019-09-01,,/development-policy/local-authority-eng/BUC/wingraverowshamndp-P3
wingraverowshamndp-P4,"Land South of Leighton Road, Wingrave",,local-authority-eng:BUC,allocated-sites,E04001554,,2020-12-21,2019-09-01,,/development-policy/local-authority-eng/BUC/wingraverowshamndp-P4
wingraverowshamndp-P5,Design,,local-authority-eng:BUC,design,E04001554,,2020-12-21,2019-09-01,,/development-policy/local-authority-eng/BUC/wingraverowshamndp-P5
wingraverowshamndp-P6,Local Employment,,local-authority-eng:BUC,employment,E04001554,,2020-12-21,2019-09-01,,/development-policy/local-authority-eng/BUC/wingraverowshamndp-P6
wingraverowshamndp-P7,Wingrave Community Facilities,,local-authority-eng:BUC,community-facilities,E04001554,,2020-12-21,2019-09-01,,/development-policy/local-authority-eng/BUC/wingraverowshamndp-P7
wingraverowshamndp-P8,Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,E04001554,,2020-12-21,2019-09-01,,/development-policy/local-authority-eng/BUC/wingraverowshamndp-P8
winslowndp-P1,The Presumption in Favour of Sustainable Development,,local-authority-eng:BUC,development-management,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P1
winslowndp-P10,Traffic Management,,local-authority-eng:BUC,transport,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P10
winslowndp-P11,Winslow Community Centre,,local-authority-eng:BUC,area/location-specific-policy,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P11
winslowndp-P12,Winslow Medical Services Centre,,local-authority-eng:BUC,area/location-specific-policy,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P12
winslowndp-P13,Sports Facilities,,local-authority-eng:BUC,community-facilities;leisure,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P13
winslowndp-P14,Childcare Nursery,,local-authority-eng:BUC,community-facilities;education,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P14
winslowndp-P15,Play Facilities for Young People,,local-authority-eng:BUC,community-facilities;leisure;play-space,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P15
winslowndp-P16,Assets of Community Value,,local-authority-eng:BUC,community-facilities,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P16
winslowndp-P17,Winslow Shopping Area,,local-authority-eng:BUC,area/location-specific-policy,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P17
winslowndp-P18,Small Supermarket,,local-authority-eng:BUC,retail,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P18
winslowndp-P19,Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P19
winslowndp-P2,A Spatial Plan for the Town,,local-authority-eng:BUC,strategic-policy,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P2
winslowndp-P20,Infrastructure Investment,,local-authority-eng:BUC,infrastructure,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P20
winslowndp-P3,Housing Allocations,,local-authority-eng:BUC,allocated-sites;housing,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P3
winslowndp-P4,Affordable Housing,,local-authority-eng:BUC,affordable-housing,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P4
winslowndp-P5,Housing Design,,local-authority-eng:BUC,design;housing,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P5
winslowndp-P6,Land South of Buckingham Road,,local-authority-eng:BUC,allocated-sites,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P6
winslowndp-P7,Land North of Buckingham Road,,local-authority-eng:BUC,allocated-sites,E04001555,,2020-12-21,2014-09-10,,/development-policy/local-authority-eng/BUC/winslowndp-P7
