description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,astonclintonndp-EN1,biodiversity;development-management,,2020-12-21,E04001457,Environment - Development impact on biodiversity,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-EN1
,astonclintonndp-EN2,biodiversity;development-management,,2020-12-21,E04001457,Environment - Protecting biodiversity loss,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-EN2
,astonclintonndp-EN3,community-facilities;designation,,2020-12-21,E04001457,Environment - Local Green Spaces,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-EN3
,astonclintonndp-EN4,flooding,,2020-12-21,E04001457,Environment - Abating flood risk,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-EN4
,buckinghamndp-HP1,allocated-sites;housing,,2020-12-21,E04001465,Allocate land for around 617 new dwellings,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-HP1
,buckinghamndp-HP2,allocated-sites;education,,2020-12-21,E04001465,Allocate land for 400 new rooms for University expansion,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-HP2
,buckinghamndp-HP3,allocated-sites;specialised-housing,,2020-12-21,E04001465,Allocate land for self build,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-HP3
,buckinghamndp-HP4,housing-mix,,2020-12-21,E04001465,Provide a diverse housing mix,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-HP4
,buckinghamndp-HP5,affordable-housing,,2020-12-21,E04001465,Provide affordable housing,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-HP5
,buckinghamndp-HP6,,,2020-12-21,E04001465,Phasing,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-HP6
,buckinghamndp-HP7,development-management,,2020-12-21,E04001465,Guidelines for Windfall sites,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-HP7
,buckinghamndp-DHE1,trees,,2020-12-21,E04001465,Protect existing trees and provision of trees in developments,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-DHE1
,buckinghamndp-DHE2,biodiversity;ecology;nature,,2020-12-21,E04001465,Standard of ecological information required to minimise the impact on natural habitats,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-DHE2
,buckinghamndp-DHE3,biodiversity;designation,,2020-12-21,E04001465,Protection of designated sites and local and national priority habitats and species,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-DHE3
,buckinghamndp-DHE4,development-management,,2020-12-21,E04001465,Protection of movement corridors,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-DHE4
,buckinghamndp-DHE5,biodiversity,,2020-12-21,E04001465,Biodiversity in Development Landscaping,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-DHE5
,buckinghamndp-DHE6,development-management,,2020-12-21,E04001465,Provision of good quality private outdoor space,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-DHE6
,buckinghamndp-CLH1,allocated-sites;burial-spaces,,2020-12-21,E04001465,Allocate land for a Cemetery,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-CLH1
,buckinghamndp-CLH2,community-facilities;development-management;leisure;play-space,,2020-12-21,E04001465,Provision of play provision for new developments,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-CLH2
,buckinghamndp-CLH3,allocated-sites;allotments,,2020-12-21,E04001465,Allocate land for allotments,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-CLH3
,buckinghamndp-CLH4,community-facilities;development-management;health,,2020-12-21,E04001465,Protection of existing and provision of new health facilities,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-CLH4
,buckinghamndp-CLH5,area/location-specific-policy;open-space,,2020-12-21,E04001465,Protection of existing green open space,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-CLH5
,buckinghamndp-CLH6,area/location-specific-policy,,2020-12-21,E04001465,Development of Canal Area,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-CLH6
,buckinghamndp-CLH7,area/location-specific-policy,,2020-12-21,E04001465,Preservation of St. Rumbold’s Well,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-CLH7
,buckinghamndp-CLH8,area/location-specific-policy,,2020-12-21,E04001465,Continuation and expansion of the Riverside Walk,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-CLH8
,buckinghamndp-EE1,allocated-sites;employment,,2020-12-21,E04001465,Allocate land for employment development,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-EE1
,buckinghamndp-EE2,allocated-sites;office;retail,,2020-12-21,E04001465,"Allocation of land for retail, office and mixed development",,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-EE2
,buckinghamndp-EE3,retail;town-centres,,2020-12-21,E04001465,Locate new retail development within the town centre,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-EE3
,buckinghamndp-EE4,retail;retail-policy,,2020-12-21,E04001465,Retain and enhance the primary and secondary retail frontages,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-EE4
,buckinghamndp-EE5,allocated-sites;car-parks;parking;town-centres,,2020-12-21,E04001465,Allocation of land for town centre parking,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-EE5
,buckinghamndp-EE6,broadband;infrastructure;communications,,2020-12-21,E04001465,Telecommunication provision,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-EE6
,buckinghamndp-EE7,community-facilities;education;schools,,2020-12-21,E04001465,Preservation of existing primary and senior school sites,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-EE7
,buckinghamndp-EE8,allocated-sites,,2020-12-21,E04001465,Land allocated to University of Buckingham expansion,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-EE8
,buckinghamndp-I1,development-management,,2020-12-21,E04001465,New disabled access requirement for new pedestrian routes,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-I1
,buckinghamndp-I2,energy,,2020-12-21,E04001465,Renewable energy generation,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-I2
,buckinghamndp-I3,water,,2020-12-21,E04001465,Rainwater collection,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-I3
,buckinghamndp-I4,flooding,,2020-12-21,E04001465,Development upon the flood plain,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-I4
,buckinghamndp-I5,,,2020-12-21,E04001465,Sewage Management,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-I5
,buckinghamndp-SR1,design,,2020-12-21,E04001465,Site Design Brief,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-SR1
,buckinghamndp-SR2,area/location-specific-policy,,2020-12-21,E04001465,Site G,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-SR2
,buckinghamndp-SR3,area/location-specific-policy,,2020-12-21,E04001465,Site H,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-SR3
,buckinghamndp-SR4,area/location-specific-policy,,2020-12-21,E04001465,Site I,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-SR4
,buckinghamndp-SR5,area/location-specific-policy,,2020-12-21,E04001465,Site J,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-SR5
,buckinghamndp-SR6,area/location-specific-policy,,2020-12-21,E04001465,Site K,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-SR6
,buckinghamndp-SR7,area/location-specific-policy,,2020-12-21,E04001465,Site M,,development-policy:Buckingham Town Council,2015-09-30,development-policy/development-policy/Buckingham Town Council/buckinghamndp-SR7
,bucklandndp-BP1,conservation-area;development-management,,2020-12-21,E04001466,Development within and adjacent to the Conservation Area,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP1
,bucklandndp-BP2,green-belt,,2020-12-21,E04001466,AONB/Green Belt,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP2
,bucklandndp-BP3,,,2020-12-21,E04001466,Local Distinctiveness,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP3
,bucklandndp-BP4,development-management,,2020-12-21,E04001466,No Further Coalescence,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP4
,bucklandndp-BP5,development-management,,2020-12-21,E04001466,New Development,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP5
,bucklandndp-BP6,housing,,2020-12-21,E04001466,Meeting Local Housing Needs,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP6
,bucklandndp-BP7,affordable-housing,,2020-12-21,E04001466,Affordable Homes,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP7
,bucklandndp-BP8,development-management,,2020-12-21,E04001466,Small business sites,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP8
,bucklandndp-BP9,development-management,,2020-12-21,E04001466,Redevelopment of existing businesses,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP9
,bucklandndp-BP10,development-management,,2020-12-21,E04001466,Reuse and Relocation of Farm Buildings,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP10
,bucklandndp-BP11,car-parks;parking,,2020-12-21,E04001466,Provision of on-site parking spaces,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP11
,bucklandndp-BP12,transport,,2020-12-21,E04001466,Business traffic,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP12
,bucklandndp-BP13,community-facilities,,2020-12-21,E04001466,Community Facilities,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP13
,bucklandndp-BP14,conservation-area;heritage;listed-buildings,,2020-12-21,E04001466,Heritage,,development-policy:Buckland Parish Council,2016-03-04,development-policy/development-policy/Buckland Parish Council/bucklandndp-BP14
